create_dropoff_averaged_distance_to_halite,create_dropoff_halite_remaining_threshold,create_dropoff_turn_remaining_threshold,create_ship_halite_remaining_threshold,create_ship_turn_remaining_threshold,forced_return_turn_remaining_threshold,gather_position_halite_amount,halite_density_bin,map_size,players,ray_length,return_halite_amount,samples
15,0.40345409,0.628320452,0.433913528,0.601871722,0.070529921,100.3925073,31,48,4,5.945888435,780.5996226,1
15,0.402618593,0.633728438,0.434761837,0.609328056,0.069154133,100.5000585,32,48,4,5.979238938,778.8677226,1
15,0.509976386,0.563418971,0.364272982,0.495897164,0.086309589,70.37043292,8,56,2,11.05582726,827.0507857,3
15,0.636990289,0.571705385,0.305300309,0.657573862,0.085149991,55.0323478,8,56,4,10.85044149,852.295209,3
15,0.508838856,0.576273626,0.361251777,0.504666655,0.08475549,74.96566821,9,56,2,10.83380301,822.0307283,19
15,0.638572481,0.580661891,0.312139036,0.66078796,0.082659513,59.26190333,9,56,4,10.73367776,847.8074824,9
15,0.506709338,0.590398845,0.357472355,0.518716339,0.083022109,79.65879269,10,56,2,10.61864771,817.0118397,45
15,0.638540328,0.590028109,0.319745658,0.662767298,0.08011584,63.44800056,10,56,4,10.63329691,843.3115811,40
15,0.502580124,0.604984152,0.353338631,0.539558923,0.081172416,84.45675011,11,56,2,10.42052542,812.028391,137
15,0.636576096,0.599330532,0.328145515,0.663082744,0.077670339,67.56215437,11,56,4,10.54704647,838.8904858,103
15,0.49437613,0.618511295,0.349841514,0.566451812,0.079343371,89.32765984,12,56,2,10.25183173,807.1604432,212
15,0.632287453,0.607920642,0.337474903,0.660992138,0.075522347,71.5854524,12,56,4,10.47043088,834.6084131,129
15,0.480721427,0.628498849,0.349283949,0.593297127,0.077764445,94.13042444,13,56,2,10.09560895,802.6785188,281
15,0.625222846,0.615205939,0.348106755,0.655197115,0.073872632,75.51161623,13,56,4,10.39737276,830.5178747,202
15,0.464235728,0.633397993,0.353062101,0.613628223,0.07658836,98.69465608,14,56,2,9.910119208,798.9433242,313
15,0.614508339,0.620433892,0.360888048,0.642753438,0.072949052,79.35585407,14,56,4,10.31645132,826.5892815,225
15,0.448992801,0.633343691,0.36022049,0.626114552,0.075736707,102.9480408,15,56,2,9.672646926,796.0117051,251
15,0.597365711,0.62202318,0.378497346,0.613651161,0.073082358,83.17740395,15,56,4,10.20835293,822.6299775,213
15,0.437039631,0.629612583,0.368744512,0.632341512,0.075033613,106.9128237,16,56,2,9.393455819,793.6794902,189
15,0.515196926,0.58385007,0.400754151,0.446182228,0.076388207,87.01692111,16,56,4,9.860953097,814.6434627,171
15,0.42879474,0.623879422,0.376981122,0.633917453,0.074327887,110.6213139,17,56,2,9.091445616,791.7300603,112
15,0.508302619,0.581707804,0.407990435,0.451876458,0.075555217,90.20386491,17,56,4,9.656963889,811.1066887,176
15,0.42363205,0.61745723,0.383929052,0.632208488,0.073549253,114.0838936,18,56,2,8.78161997,790.0463617,56
15,0.502494623,0.579940382,0.414504782,0.463416376,0.074902319,93.30744452,18,56,4,9.463953214,807.7537659,143
15,0.42086596,0.611498894,0.389125207,0.628253262,0.072671812,117.3043085,19,56,2,8.472208664,788.5736096,24
15,0.496487044,0.578669208,0.419604557,0.478794921,0.074517605,96.28897074,19,56,4,9.278051016,804.5832059,89
15,0.419688299,0.606490115,0.392570372,0.622901754,0.071711417,120.2510231,20,56,2,8.167235145,787.3141778,11
15,0.490095942,0.578763761,0.423058073,0.496516419,0.074403005,99.10144202,20,56,4,9.092659013,801.6790367,58
15,0.419452201,0.602593431,0.394537151,0.61692268,0.070686503,122.9011329,21,56,2,7.870758433,786.2565111,1
15,0.483452586,0.58062691,0.424795771,0.513900039,0.07444887,101.6958454,21,56,4,8.896485496,799.0920408,43
15,0.41971467,0.599783867,0.395378811,0.610942112,0.069631142,125.2332336,22,56,2,7.586257856,785.3951814,1
15,0.477140403,0.584068819,0.425199565,0.528602997,0.074509477,104.0308063,22,56,4,8.684043067,796.8228729,29
15,0.471506079,0.588382841,0.424625511,0.539445027,0.074453249,106.0871657,23,56,4,8.456463421,794.8109731,14
15,0.4667106,0.59312379,0.423482564,0.547166504,0.074238686,107.861771,24,56,4,8.224347998,792.9958306,8
15,0.462626694,0.598079313,0.422111547,0.55308251,0.073887318,109.3601304,25,56,4,7.999057852,791.3312986,2
15,0.520328786,0.549295126,0.363498009,0.467923661,0.085977768,72.53501425,8,64,2,11.96749971,831.5973132,5
15,0.624651745,0.568574715,0.308399066,0.591294079,0.085922897,58.15616451,8,64,4,11.67974427,856.161196,1
15,0.518044075,0.556130284,0.364791609,0.47246177,0.084572607,77.09537139,9,64,2,11.73188046,826.7398802,7
15,0.627682862,0.577769881,0.319828033,0.591709144,0.08344775,62.66215281,9,64,4,11.54475371,851.0610461,2
15,0.51603987,0.564730616,0.365096461,0.482579587,0.083026077,81.75021795,10,64,2,11.50265549,821.7392209,25
15,0.629013767,0.58800821,0.333084647,0.590364533,0.080670098,67.1901198,10,64,4,11.43174634,845.8507653,10
15,0.51422548,0.576171701,0.363514978,0.50345095,0.081429842,86.56775293,11,64,2,11.30242672,816.4700071,50
15,0.627838527,0.598105041,0.34774558,0.587212457,0.077810839,71.68858198,11,64,4,11.34360228,840.6164718,18
15,0.509851705,0.594603926,0.355028445,0.552956069,0.080057311,91.74204555,12,64,2,11.22844101,810.1571658,82
15,0.623389146,0.606425602,0.362969332,0.58245526,0.075169494,76.1116385,12,64,4,11.2768059,835.4690419,35
15,0.479015366,0.6226043,0.334714867,0.651415896,0.078616035,97.80363128,13,64,2,11.52891861,800.5617619,110
15,0.614834209,0.611242566,0.377920435,0.575617082,0.073011642,80.44954098,13,64,4,11.22176888,830.4598242,60
15,0.452464784,0.629565636,0.341185088,0.681738118,0.076914603,103.0369938,14,64,2,11.4906766,795.3624619,157
15,0.601756391,0.611009665,0.391638609,0.567245248,0.071498054,84.71655072,14,64,4,11.16800662,825.5627627,101
15,0.437535014,0.626179687,0.355237049,0.689597321,0.075703818,107.6154352,15,64,2,11.26478617,792.3823054,163
15,0.584148176,0.604527202,0.403368841,0.558998946,0.070665646,88.93121056,15,64,4,11.11067553,820.6089617,98
15,0.428837531,0.617092928,0.370922666,0.688535529,0.074721456,111.8447727,16,64,2,10.97486122,790.105502,169
15,0.563950427,0.592706105,0.411962041,0.559817607,0.070483062,93.06143336,16,64,4,11.06847799,815.4709234,114
15,0.424304091,0.605625805,0.385397103,0.682438112,0.073742602,115.82122,17,64,2,10.66752439,788.0222015,174
15,0.541963493,0.578350103,0.417429275,0.577152049,0.070950523,97.04842593,17,64,4,11.071728,810.0100919,145
15,0.422801442,0.595288118,0.396456318,0.673828924,0.072665677,119.5507226,18,64,2,10.3605409,786.0679503,179
15,0.520293996,0.565952592,0.422231691,0.59844511,0.071692881,100.8061905,18,64,4,11.06925509,804.4295427,123
15,0.423336906,0.588054897,0.40332484,0.664197138,0.071486097,123.0087197,19,64,2,10.05457709,784.3601496,146
15,0.505963094,0.560413834,0.42664545,0.607944068,0.07209552,104.1967017,19,64,4,10.96408616,799.8493823,134
15,0.424981304,0.583965198,0.406729324,0.654308717,0.070261229,126.1736322,20,64,2,9.74838649,782.9742383,109
15,0.498275894,0.561596196,0.428819216,0.610010207,0.072244106,107.2372307,20,64,4,10.77152998,796.5689238,142
15,0.427088737,0.582167859,0.40772082,0.644576654,0.069040426,129.0280187,21,64,2,9.443898283,781.8969618,90
15,0.493818142,0.566315267,0.429016212,0.608728033,0.072275014,109.9876572,21,64,4,10.53282271,794.1509338,117
15,0.429195724,0.581816255,0.407177504,0.635167826,0.067834117,131.5468039,22,64,2,9.144644543,781.0776635,74
15,0.490818609,0.572521594,0.427838275,0.605615367,0.072212209,112.4694642,22,64,4,10.27225052,792.2364999,110
15,0.431109854,0.582503747,0.405701818,0.626437476,0.066653717,133.7189783,23,64,2,8.857489048,780.4768535,47
15,0.488419059,0.579194665,0.425829249,0.601829758,0.072061688,114.6812811,23,64,4,10.0068146,790.6151862,85
15,0.432700759,0.583879713,0.403706035,0.618536939,0.065501822,135.5192812,24,64,2,8.587582535,780.0686797,22
15,0.486285989,0.585933516,0.423327339,0.597942229,0.071805105,116.617365,24,64,4,9.748348114,789.1775401,93
15,0.433947232,0.585806652,0.40146145,0.61161215,0.064371435,136.9542029,25,64,2,8.339814323,779.8173739,13
15,0.484222795,0.592526763,0.420606707,0.594325879,0.071435285,118.2694421,25,64,4,9.504745427,787.8559947,75
15,0.434868866,0.588145623,0.399154052,0.605700477,0.063259764,138.0230908,26,64,2,8.119096683,779.6987874,7
15,0.482169978,0.59892113,0.417848044,0.591216621,0.070958537,119.6332552,26,64,4,9.283080834,786.6137892,45
15,0.435482263,0.590847481,0.396906884,0.600776169,0.06215684,138.7408038,27,64,2,7.928374791,779.6856565,9
15,0.480108083,0.605142214,0.415198925,0.588718162,0.070371172,120.7209922,27,64,4,9.087248853,785.4206293,33
15,0.435831988,0.593869691,0.39480255,0.59680166,0.061059733,139.1280595,28,64,2,7.769807905,779.7509544,3
15,0.478009689,0.611215325,0.412760818,0.586907975,0.069689812,121.5424677,28,64,4,8.920727253,784.2559294,25
15,0.475860766,0.617166028,0.41059666,0.585768537,0.06892046,122.1199728,29,64,4,8.785653595,783.0995233,19
15,0.473646949,0.623041761,0.408750227,0.585329472,0.068078341,122.477552,30,64,4,8.683486083,781.9262418,13
15,0.471345164,0.628850641,0.407251165,0.585532221,0.067173102,122.6489852,31,64,4,8.61446814,780.7213799,9
15,0.468956297,0.634619581,0.40611121,0.586376627,0.066217144,122.6683403,32,64,4,8.578863854,779.4629379,3
15,0.466503444,0.64035749,0.405365525,0.587937891,0.065244909,122.5713565,33,64,4,8.57456751,778.1397748,5
15,0.463957578,0.646038291,0.404981154,0.590059444,0.064249516,122.3989399,34,64,4,8.600247515,776.7265625,4
15,0.458665711,0.657201883,0.405318057,0.596077206,0.062270818,121.9697902,36,64,4,8.731875378,773.5942531,2
